Date,Open,High,Low,Close,Volume,Adj Close
2010-06-28,75.15,76.56,75.10,75.94,590600,75.94
2010-06-25,76.20,76.41,74.97,75.07,1255000,75.07
2010-06-24,77.02,78.15,76.01,77.23,897600,77.23
2010-06-23,76.00,77.77,75.60,76.81,564800,76.81
2010-06-22,77.44,77.82,75.43,76.65,991000,76.65
2010-06-21,77.12,78.23,76.59,77.73,1238500,77.73
2010-06-18,75.25,76.00,74.47,75.75,2497700,75.75
2010-06-17,72.32,75.20,72.23,75.20,1617800,75.20
2010-06-16,72.82,72.88,71.08,72.44,1423200,72.44
2010-06-15,71.60,72.64,70.77,72.27,813100,72.27
2010-06-14,72.90,73.01,71.45,72.11,778300,72.11
2010-06-11,72.50,72.90,70.80,72.18,1095600,72.18
2010-06-10,69.96,72.59,69.23,72.21,1193800,72.21
2010-06-09,69.70,70.38,68.79,70.31,944400,70.31
2010-06-08,70.45,70.45,68.62,69.18,1162100,69.18
2010-06-07,69.20,70.44,68.50,69.95,811700,69.95
2010-06-04,72.20,72.59,69.89,70.03,1113400,70.03
2010-06-03,72.90,73.39,71.32,72.29,1040300,72.29
2010-06-02,71.70,72.67,70.41,72.04,960100,72.04
2010-06-01,71.50,72.85,70.01,72.36,1087500,72.36
2010-05-31,70.18,72.00,70.15,71.73,534300,71.73
2010-05-28,70.87,71.48,69.73,70.18,973500,70.18
2010-05-27,69.73,71.00,69.32,70.52,1146700,70.52
2010-05-26,66.67,70.42,66.22,69.68,1676700,69.68
2010-05-25,66.83,66.85,65.10,66.05,1321800,66.05
2010-05-24,66.75,68.34,65.05,68.16,1145000,68.16
2010-05-21,66.13,67.74,64.02,66.05,2613000,66.05
2010-05-20,69.75,70.26,64.36,66.50,2868800,66.50
2010-05-19,70.40,70.65,67.79,69.07,1713600,69.07
2010-05-18,70.50,71.69,70.09,71.12,1149000,71.12
2010-05-17,71.26,71.61,69.47,69.54,1334800,69.54
2010-05-14,72.48,72.91,70.70,71.12,1555100,71.12
2010-05-13,73.18,74.00,72.54,72.86,1202100,72.86
2010-05-12,70.96,72.83,70.35,72.40,1175200,72.40
2010-05-11,70.44,70.90,69.54,70.90,1357100,70.90
2010-05-10,69.00,71.33,68.69,70.77,2168300,70.77
2010-05-07,68.00,68.78,66.25,67.31,3129500,67.31
2010-05-06,68.43,70.82,68.00,69.21,1965200,69.21
2010-05-05,70.35,71.12,67.67,68.68,2723900,68.68
2010-05-04,73.85,73.85,69.72,70.16,1873200,70.16
2010-05-03,72.74,73.46,70.84,73.36,784800,73.36
2010-04-30,72.87,73.38,70.68,72.54,1380300,72.54
2010-04-29,69.00,72.41,68.70,72.41,2078200,72.41
2010-04-28,70.00,70.41,67.71,68.60,3262400,68.60
2010-04-27,73.28,73.34,71.04,71.04,1486800,71.04
2010-04-26,74.50,74.75,72.90,73.50,1288500,73.50
2010-04-23,75.51,75.90,73.20,73.47,2157100,73.47
2010-04-22,75.35,76.46,73.86,76.18,3031500,74.52
2010-04-21,73.76,75.72,72.85,75.26,5870100,73.62
2010-04-20,71.51,73.48,71.10,72.50,2147800,70.92
2010-04-19,71.00,71.15,69.20,70.00,1383400,68.47
2010-04-16,69.99,71.90,69.81,70.92,3355400,69.37
2010-04-15,69.86,71.00,69.50,70.40,1769300,68.87
2010-04-14,67.94,69.79,67.56,69.69,2308900,68.17
2010-04-13,68.11,68.38,67.02,67.50,1759200,66.03
2010-04-12,69.00,69.20,68.06,68.20,882900,66.71
2010-04-09,69.78,70.00,68.02,68.70,3643500,67.20
2010-04-08,70.30,70.60,68.28,68.90,2053200,67.40
2010-04-07,70.93,71.39,70.42,70.65,1992800,69.11
2010-04-06,69.76,71.30,69.66,71.12,2923400,69.57
2010-04-01,68.10,69.65,67.75,69.52,2340700,68.01
2010-03-31,67.80,68.38,66.80,67.90,5337400,66.42
2010-03-30,69.50,70.00,67.43,67.91,2354100,66.43
2010-03-29,69.49,70.42,68.90,69.34,1389200,67.83
2010-03-26,68.05,69.39,67.85,69.20,3797000,67.69
2010-03-25,69.50,69.53,66.57,66.57,3576000,65.12
2010-03-24,69.00,69.44,68.14,69.01,2566500,67.51
2010-03-23,72.37,72.90,66.80,68.50,5896800,67.01
2010-03-22,72.00,73.19,70.50,72.95,911800,71.36
2010-03-19,71.99,73.80,71.12,72.16,2087800,70.59
2010-03-18,71.36,72.77,70.55,71.48,824300,69.92
2010-03-17,70.90,71.65,69.34,71.45,847900,69.89
2010-03-16,69.45,70.88,69.00,70.40,591500,68.87
2010-03-15,70.26,71.00,68.63,68.84,856700,67.34
2010-03-12,69.14,74.20,69.04,69.99,3571000,68.46
2010-03-11,63.75,69.09,63.50,68.68,3020700,67.18
2010-03-10,63.74,64.03,62.40,63.75,1016700,62.36
2010-03-09,64.98,65.35,63.61,63.62,948100,62.23
2010-03-08,63.73,64.79,62.72,64.63,1279100,63.22
2010-03-05,61.95,64.00,61.47,63.40,1569300,62.02
2010-03-04,61.90,62.78,61.10,61.40,755100,60.06
2010-03-03,61.03,62.28,60.50,62.11,785800,60.76
2010-03-02,60.50,61.30,60.45,60.70,731800,59.38
2010-03-01,60.25,60.90,59.62,60.30,1087200,58.99
2010-02-26,60.85,61.00,59.11,59.80,1362500,58.50
2010-02-25,61.41,62.41,60.34,60.58,778800,59.26
2010-02-24,60.87,62.10,60.53,61.66,841000,60.32
2010-02-23,62.00,62.44,60.14,60.69,1004200,59.37
2010-02-22,60.49,62.35,59.79,61.26,1056400,59.93
2010-02-19,59.23,60.16,58.76,60.14,879500,58.83
2010-02-18,59.10,60.30,58.28,59.42,1045600,58.13
2010-02-17,57.00,59.49,56.87,59.10,1321000,57.81
2010-02-16,56.32,56.79,55.23,56.63,466200,55.40
2010-02-15,56.11,56.64,55.67,55.83,375500,54.61
2010-02-12,57.99,58.56,55.00,56.06,1492200,54.84
2010-02-11,59.00,59.30,56.54,57.15,1282500,55.90
2010-02-10,58.00,58.95,57.71,58.90,875600,57.62
2010-02-09,58.77,59.45,56.86,57.42,1075400,56.17
2010-02-08,59.70,59.70,57.83,58.65,1237000,57.37
2010-02-05,59.95,60.28,58.35,59.24,1722100,57.95
2010-02-04,61.65,62.54,60.01,60.60,1477100,59.28
2010-02-03,61.30,62.95,61.16,61.50,1849700,60.16
2010-02-02,60.63,61.45,59.46,61.04,1548500,59.71
2010-02-01,58.50,60.90,58.27,60.62,1356300,59.30
2010-01-29,57.00,59.55,56.71,58.60,1316800,57.32
2010-01-28,56.80,57.42,56.28,56.50,1391500,55.27
2010-01-27,57.35,57.67,55.37,56.19,1281200,54.97
2010-01-26,56.51,57.80,55.96,57.80,875700,56.54
2010-01-25,56.66,57.82,55.91,57.15,940200,55.90
2010-01-22,57.77,59.69,56.68,56.91,1588900,55.67
2010-01-21,59.67,60.02,57.68,58.05,976600,56.79
2010-01-20,60.00,60.47,58.76,59.50,1113100,58.20
2010-01-19,61.47,61.57,57.91,60.70,1999400,59.38
2010-01-18,61.90,62.74,61.63,61.63,616900,60.29
2010-01-15,63.50,63.77,61.30,61.46,1008700,60.12
2010-01-14,64.16,64.26,62.91,63.50,838700,62.12
2010-01-13,64.61,64.96,62.73,63.50,1505800,62.12
2010-01-12,66.81,66.88,64.55,65.20,923700,63.78
2010-01-11,67.00,67.79,66.55,66.95,1033500,65.49
2010-01-08,65.90,67.10,65.71,66.46,932200,65.01
2010-01-07,64.97,66.31,64.43,65.75,1101400,64.32
2010-01-06,63.59,65.19,62.62,65.00,1195000,63.58
2010-01-05,64.50,64.89,62.18,63.25,888000,61.87
2010-01-04,65.15,65.73,63.45,64.50,900700,63.09
2009-12-30,65.79,65.90,64.59,65.74,339400,64.31
2009-12-29,64.88,65.64,63.92,65.63,405400,64.20
2009-12-28,64.38,64.80,63.63,64.51,525100,63.10
2009-12-23,66.04,66.15,63.26,63.64,1979400,62.25
2009-12-22,67.00,67.74,65.06,65.50,3893300,64.07
2009-12-21,67.62,67.96,65.60,66.42,1113200,64.97
2009-12-18,65.98,69.05,64.56,65.95,1977600,64.51
2009-12-17,68.30,68.33,65.51,66.23,761300,64.79
2009-12-16,67.92,68.48,67.70,68.48,850800,66.99
2009-12-15,68.00,68.43,67.62,68.20,706100,66.71
2009-12-14,67.70,68.43,67.16,67.88,1046400,66.40
2009-12-11,65.24,67.20,65.09,66.63,1465600,65.18
2009-12-10,64.00,65.37,63.30,65.00,692500,63.58
2009-12-09,64.26,65.19,63.31,63.59,1138700,62.20
2009-12-08,64.99,65.14,63.35,64.10,1364000,62.70
2009-12-07,63.75,64.97,63.32,64.53,811200,63.12
2009-12-04,61.90,63.79,60.30,63.50,1060300,62.12
2009-12-03,62.00,63.62,61.63,62.70,1592500,61.33
2009-12-02,60.11,61.63,59.26,61.63,1276800,60.29
2009-12-01,58.25,60.01,58.20,59.50,2001800,58.20
2009-11-30,55.85,57.20,54.96,56.50,1485200,55.27
2009-11-27,52.49,54.94,51.54,54.50,2121000,53.31
2009-11-26,57.00,57.00,52.90,53.54,1934300,52.37
2009-11-25,58.39,59.26,56.65,57.20,1141800,55.95
2009-11-24,59.29,60.20,56.86,57.61,1823300,56.35
2009-11-23,58.20,59.80,58.00,59.22,1204000,57.93
2009-11-20,61.38,61.38,57.28,57.51,2029600,56.26
2009-11-19,61.77,61.79,60.68,61.20,619000,59.87
2009-11-18,62.17,62.62,61.53,61.62,718200,60.28
2009-11-17,62.80,62.99,61.61,61.85,734300,60.50
2009-11-16,61.10,62.70,60.70,62.45,1053800,61.09
2009-11-13,60.55,61.20,60.08,60.25,1342600,58.94
2009-11-12,60.98,61.45,60.03,60.03,1202900,58.72
2009-11-11,60.40,62.34,59.77,60.67,3683900,59.35
2009-11-10,64.60,65.25,59.51,60.22,11238000,58.91
2009-11-09,70.02,71.88,70.01,71.50,501100,69.94
2009-11-06,67.89,70.40,67.70,69.67,443800,68.15
2009-11-05,66.87,68.57,65.50,68.10,394700,66.62
2009-11-04,68.05,68.70,66.31,67.31,356400,65.84
2009-11-03,66.40,67.50,64.59,66.30,389500,64.86
2009-11-02,66.16,68.00,65.50,67.00,330000,65.54
2009-10-30,70.40,70.40,66.51,67.67,515800,66.20
2009-10-29,64.97,70.13,63.50,70.00,856500,68.47
2009-10-28,69.40,69.50,64.30,65.34,783600,63.92
2009-10-27,71.52,72.26,68.10,68.74,501500,67.24
2009-10-26,74.26,74.48,71.58,71.77,211100,70.21
2009-10-23,74.17,74.38,73.15,73.34,160900,71.74
2009-10-22,71.70,73.61,71.37,73.05,213000,71.46
2009-10-21,71.90,73.84,71.28,72.73,328200,71.15
2009-10-20,73.70,74.71,71.01,71.31,740100,69.76
2009-10-19,73.79,75.65,72.70,74.00,507500,72.39
2009-10-16,76.30,76.30,72.60,73.00,1099000,71.41
2009-10-15,76.90,78.60,76.60,77.87,348600,76.17
2009-10-14,78.20,79.22,76.25,76.57,610000,74.90
2009-10-13,78.40,79.72,76.97,77.86,418000,76.16
2009-10-12,79.90,81.41,76.89,77.25,423500,75.57
2009-10-09,81.48,82.77,79.69,79.69,449500,77.95
2009-10-08,80.52,82.90,78.50,81.72,584500,79.94
2009-10-07,80.00,80.80,78.45,80.63,302200,78.87
2009-10-06,76.50,80.17,76.40,79.25,530400,77.52
2009-10-05,74.05,76.25,74.04,75.96,255100,74.30
2009-10-02,75.21,76.48,73.04,74.60,519300,72.97
2009-10-01,79.81,80.85,76.01,76.01,323400,74.35
2009-09-30,78.40,81.89,78.26,79.59,629200,77.86
2009-09-29,76.00,78.55,74.90,78.05,571700,76.35
2009-09-28,75.10,76.30,73.70,75.30,313800,73.66
2009-09-25,72.60,76.00,72.20,75.30,480100,73.66
2009-09-24,70.95,73.69,69.89,72.29,387600,70.71
2009-09-23,69.50,71.44,69.00,70.50,465700,68.96
2009-09-22,69.99,70.89,68.20,68.90,290000,67.40
2009-09-21,72.94,73.38,68.30,69.25,485000,67.74
2009-09-18,74.00,76.40,71.09,72.33,600100,70.75
2009-09-17,76.40,76.50,73.53,74.46,362400,72.84
2009-09-16,72.49,76.77,72.05,75.25,922300,73.61
2009-09-15,70.50,72.50,69.75,71.49,572300,69.93
2009-09-14,68.00,70.00,67.14,68.96,653900,67.46
2009-09-11,64.00,67.34,63.88,67.00,441400,65.54
2009-09-10,64.88,65.70,63.10,64.00,266200,62.61
2009-09-09,64.52,65.50,64.24,64.75,202500,63.34
2009-09-08,65.60,66.25,64.46,64.88,178000,63.47
2009-09-07,66.03,66.58,65.25,65.75,205600,64.32
2009-09-04,66.29,66.55,64.50,65.95,346900,64.51
2009-09-03,65.85,66.98,65.50,66.55,233700,65.10
2009-09-02,65.39,65.97,64.22,65.56,350100,64.13
2009-09-01,66.39,67.50,64.42,65.59,661300,64.16
2009-08-31,65.01,67.00,64.23,65.47,319500,64.04
2009-08-28,63.10,66.90,63.10,64.56,554200,63.15
2009-08-27,61.05,63.74,61.05,63.00,278800,61.63
2009-08-26,63.80,63.83,61.88,62.02,302900,60.67
2009-08-25,62.60,64.14,61.60,63.00,600400,61.63
2009-08-24,63.78,63.93,62.15,62.40,330200,61.04
2009-08-21,63.35,64.39,62.70,62.70,527400,61.33
2009-08-20,68.96,69.00,62.86,63.00,1520500,61.63
2009-08-19,59.99,69.01,59.31,68.42,1855600,66.93
2009-08-18,57.40,60.00,57.20,59.50,469400,58.20
2009-08-17,56.56,58.47,54.75,57.24,622700,55.99
2009-08-14,59.75,59.75,55.10,56.64,1523700,55.41
2009-08-13,57.80,60.86,57.72,60.14,276400,58.83
2009-08-12,56.67,58.50,56.01,58.30,205100,57.03
2009-08-11,57.33,57.72,55.34,56.68,254400,55.44
2009-08-10,58.25,58.77,57.05,57.65,198100,56.39
2009-08-07,58.60,58.76,57.01,58.45,219100,57.18
