date,goldprice,oilprice,dow
12dec2001,273.75,18.19,3
13dec2001,274.45,17.93,4
14dec2001,277.6,19.01,5
15dec2001,277.6,19.01,6
16dec2001,277.6,19.01,0
17dec2001,278,18.84,1
18dec2001,279.35,18.91,2
19dec2001,277.8,19,3
20dec2001,276.3,18.49,4
21dec2001,277.8,18.49,5
22dec2001,277.8,18.49,6
23dec2001,277.8,18.49,0
24dec2001,277.8,18.49,1
25dec2001,277.8,18.49,2
26dec2001,277.8,18.49,3
27dec2001,277.85,18.49,4
28dec2001,276.85,19.76,5
29dec2001,276.85,19.76,6
30dec2001,276.85,19.76,0
31dec2001,276.8,19.76,1
01jan2002,276.8,19.76,2
02jan2002,279.1,20.51,3
03jan2002,277.2,20.1,4
04jan2002,278.45,21.54,5
05jan2002,278.45,21.54,6
06jan2002,278.45,21.54,0
07jan2002,278.75,21.06,1
08jan2002,278.85,20.8,2
09jan2002,283.85,20.2,3
10jan2002,286.25,20.46,4
11jan2002,286.75,19.73,5
12jan2002,286.75,19.73,6
13jan2002,286.75,19.73,0
14jan2002,286.35,19.75,1
15jan2002,283.7,19.53,2
16jan2002,285.75,19.66,3
17jan2002,284.95,19.04,4
18jan2002,283.7,19.01,5
19jan2002,283.7,19.01,6
20jan2002,283.7,19.01,0
21jan2002,282.5,19.01,1
22jan2002,282.35,19.62,2
23jan2002,280.45,20.15,3
24jan2002,278.15,20.25,4
25jan2002,279.35,20.26,5
26jan2002,279.35,20.26,6
27jan2002,279.35,20.26,0
28jan2002,278.85,20.46,1
29jan2002,278.6,19.9,2
30jan2002,281.85,19.66,3
31jan2002,281.95,20.3,4
01feb2002,284,20.9,5
02feb2002,284,20.9,6
03feb2002,284,20.9,0
04feb2002,286.95,20.61,1
05feb2002,291.95,20.28,2
06feb2002,300,19.94,3
07feb2002,299.13,19.91,4
08feb2002,305.88,20.38,5
09feb2002,305.88,20.38,6
10feb2002,305.88,20.38,0
11feb2002,299.75,22.12,1
12feb2002,300,20.7,2
13feb2002,298.75,21.04,3
14feb2002,300.25,21.04,4
15feb2002,300.5,21,5
16feb2002,300.5,21,6
17feb2002,300.5,21,0
18feb2002,297.65,20.18,1
19feb2002,298.25,20.06,2
20feb2002,291.05,19.89,3
21feb2002,292.7,20.01,4
22feb2002,292.6,20.15,5
23feb2002,292.6,20.15,6
24feb2002,292.6,20.15,0
25feb2002,291.2,19.87,1
26feb2002,297.75,20.9,2
27feb2002,296.5,20.77,3
28feb2002,296.8,21.15,4
01mar2002,297.4,21.61,5
02mar2002,297.4,21.61,6
03mar2002,297.4,21.61,0
04mar2002,297.6,21.63,1
05mar2002,298.2,22.44,2
06mar2002,293.4,22.52,3
07mar2002,292.15,22.82,4
08mar2002,289.7,22.92,5
09mar2002,289.7,22.92,6
10mar2002,289.7,22.92,0
11mar2002,291.6,23.44,1
12mar2002,293.2,24.14,2
13mar2002,293.6,23.79,3
14mar2002,291,24.4,4
15mar2002,289.7,24.19,5
16mar2002,289.7,24.19,6
17mar2002,289.7,24.19,0
18mar2002,292.45,24.76,1
19mar2002,293.35,24.69,2
20mar2002,292.9,24.26,3
21mar2002,293.35,25.24,4
22mar2002,296.15,25.1,5
23mar2002,296.15,25.1,6
24mar2002,296.15,25.1,0
25mar2002,297.55,24.87,1
26mar2002,296.75,25.1,2
27mar2002,301.7,25,3
28mar2002,302.5,25.55,4
29mar2002,302.5,25.55,5
30mar2002,302.5,25.55,6
31mar2002,302.5,25.55,0
01apr2002,302.5,26,1
02apr2002,305.3,26.74,2
03apr2002,302.55,26.66,3
04apr2002,299.8,26.03,4
05apr2002,299.2,25.78,5
06apr2002,299.2,25.78,6
07apr2002,299.2,25.78,0
08apr2002,299.8,25.92,1
09apr2002,298.95,25,2
10apr2002,298.8,25.1,3
11apr2002,302.5,24.21,4
12apr2002,300.5,23.96,5
13apr2002,300.5,23.96,6
14apr2002,300.5,23.96,0
15apr2002,301,24.79,1
16apr2002,298.4,25.62,2
17apr2002,300.8,26.17,3
18apr2002,305.25,26.35,4
19apr2002,302.2,26.58,5
20apr2002,302.2,26.58,6
21apr2002,302.2,26.58,0
22apr2002,303.7,26.68,1
23apr2002,302.8,26.3,2
24apr2002,304.8,26.4,3
25apr2002,307.6,26.34,4
26apr2002,308,26.73,5
27apr2002,308,26.73,6
28apr2002,308,26.73,0
29apr2002,310.2,26.99,1
30apr2002,307.7,26.45,2
01may2002,309.9,26.15,3
02may2002,307.2,26.01,4
03may2002,310.9,26.22,5
04may2002,310.9,26.22,6
05may2002,310.9,26.22,0
06may2002,310.9,25.79,1
07may2002,312.4,26.16,2
08may2002,311.2,26.48,3
09may2002,309,26.54,4
10may2002,310.65,26.25,5
11may2002,310.65,26.25,6
12may2002,310.65,26.25,0
13may2002,310.2,26.83,1
14may2002,307.75,27.2,2
15may2002,308.25,26.17,3
16may2002,309.65,26.17,4
17may2002,311.4,26.09,5
18may2002,311.4,26.09,6
19may2002,311.4,26.09,0
20may2002,311.25,25.7,1
21may2002,316.75,24.8,2
22may2002,318.5,24.92,3
23may2002,318.35,24.88,4
24may2002,321.55,24.46,5
25may2002,321.55,24.46,6
26may2002,321.55,24.46,0
27may2002,320.2,24.45,1
28may2002,324.4,24.39,2
29may2002,324.8,24.39,3
30may2002,324.2,23.78,4
31may2002,325.3,23.81,5
01jun2002,325.3,23.81,6
02jun2002,325.3,23.81,0
03jun2002,325.3,23.81,1
04jun2002,325.3,23.81,2
